group_type,group,bets,wins,losses,pushes,voids,staked,profit,roi,hit_rate,avg_odds,avg_ai_prob,avg_tle_prob,avg_tle_ev,avg_tle_edge,avg_ai_edge,avg_confidence,avg_quality_score
all_by_pick_type,value,341,141,181,0,19,408.5,-5.7425,-0.014058,0.437888,2.268563,0.616667,0.478878,0.07907,0.029869,0.167658,87.11085,86.252199
all_by_model_version,ai77_tennis_value_v1,341,141,181,0,19,408.5,-5.7425,-0.014058,0.437888,2.268563,0.616667,0.478878,0.07907,0.029869,0.167658,87.11085,86.252199
all_by_tour_level,challenger,174,77,86,0,11,217.5,11.745,0.054,0.472393,2.285805,0.619294,0.481731,0.093246,0.035512,0.173076,87.372414,87.886207
all_by_tour_level,itf,167,64,95,0,8,191.0,-17.4875,-0.091558,0.402516,2.250599,0.613931,0.475906,0.0643,0.02399,0.162013,86.838323,84.549701
all_by_gender,men,247,106,127,0,14,298.25,1.9225,0.006446,0.454936,2.259514,0.61849,0.480155,0.076158,0.029076,0.167411,87.151417,86.309717
all_by_gender,women,94,35,54,0,5,110.25,-7.665,-0.069524,0.393258,2.29234,0.611878,0.475524,0.086722,0.031954,0.168306,87.004255,86.101064
all_by_favorite_type,favorite,70,36,32,0,2,73.25,0.18,0.002457,0.529412,1.845,0.645871,0.52811,-0.025646,-0.014996,0.102764,87.945714,80.481429
all_by_favorite_type,underdog,271,105,149,0,17,335.25,-5.9225,-0.017666,0.413386,2.37797,0.609124,0.466162,0.106119,0.041458,0.18442,86.895203,87.742804
all_by_stake_label,Small Value,29,16,12,0,1,21.75,3.5625,0.163793,0.571429,2.036552,0.582628,0.494132,-0.00195,-0.011444,0.077048,83.310345,69.848276
all_by_stake_label,Standard,48,18,27,0,3,48.0,-7.77,-0.161875,0.4,2.0775,0.596975,0.501433,0.034284,0.009966,0.105506,86.066667,79.458333
all_by_stake_label,Strong,229,86,129,0,14,286.25,-19.55,-0.068297,0.4,2.349083,0.622699,0.470292,0.09891,0.038734,0.191141,87.641921,88.744105
all_by_stake_label,Top Rated,35,21,13,0,1,52.5,18.015,0.343143,0.617647,2.196,0.632411,0.491487,0.077813,0.033398,0.174326,88.217143,92.857143
all_by_bookmaker,10Bet,1,0,0,0,1,1.25,0.0,0.0,,2.2,0.6,0.374344,-0.176442,-0.080156,0.1455,88.0,86.9
all_by_bookmaker,1xBet,3,0,3,0,0,2.75,-2.75,-1.0,0.0,1.8,0.66,0.490855,-0.115355,-0.065745,0.1034,88.0,76.8
all_by_bookmaker,888Sport,1,0,1,0,0,0.75,-0.75,-1.0,0.0,1.73,0.66,0.350326,-0.393937,-0.227674,0.082,88.0,70.9
all_by_bookmaker,Betano,17,14,3,0,0,20.5,14.1775,0.691585,0.823529,2.072353,0.643041,0.530601,0.10049,0.040966,0.153406,87.629412,86.247059
all_by_bookmaker,Betfair,55,20,34,0,1,66.5,-7.25,-0.109023,0.37037,2.424364,0.605795,0.479065,0.156449,0.061898,0.188627,86.154545,86.323636
all_by_bookmaker,Marathon,2,1,1,0,0,2.0,-0.7175,-0.35875,0.5,2.02,0.6279,0.442246,-0.099689,-0.064754,0.1209,88.0,80.55
all_by_bookmaker,Pncl,142,56,80,0,6,171.25,-11.8,-0.068905,0.411765,2.242113,0.615531,0.47138,0.049543,0.016835,0.160988,87.271127,86.647183
all_by_bookmaker,Sbo,5,1,3,0,1,6.0,-1.3125,-0.21875,0.25,2.404,0.62896,0.426826,0.005637,0.004286,0.20644,86.98,85.94
all_by_bookmaker,Superbet,6,1,4,0,1,8.25,-3.45,-0.418182,0.2,2.268333,0.61565,0.454439,0.030359,0.013256,0.174467,87.933333,90.633333
all_by_bookmaker,Unibet,42,18,18,0,6,49.5,4.2875,0.086616,0.5,2.252619,0.619214,0.496233,0.105808,0.043321,0.166302,87.161905,85.652381
